TIME_STAMP	Lon	Lat	5G-NR NAS Registration Procedure Registration Time(ReqToAcc) [sec]	5G-NR NAS Registration Procedure Registration Time(ReqToComp) [sec]
2024-03-20 00:18:19.731032	-93.182449	44.976490	0.407	
2024-03-20 00:18:19.731169	-93.182449	44.976490		0.407
2024-03-20 00:20:47.620108	-93.182449	44.976490	0.541	
2024-03-20 00:20:47.629122	-93.182449	44.976490		0.542
2024-03-20 00:22:19.713452	-93.182449	44.976490	0.461	
2024-03-20 00:22:19.713664	-93.182449	44.976490		0.462
2024-03-20 00:24:59.395030	-93.182449	44.976490	0.667	
2024-03-20 00:24:59.395301	-93.182449	44.976490		0.668
2024-03-20 00:26:19.730558	-93.182449	44.976501	0.385	
2024-03-20 00:26:19.730701	-93.182449	44.976501		0.386
2024-03-20 00:28:47.521398	-93.182449	44.976501	0.496	
2024-03-20 00:28:47.521611	-93.182449	44.976501		0.497
2024-03-20 00:30:19.849020	-93.182449	44.976501	0.500	
2024-03-20 00:30:19.849175	-93.182449	44.976501		0.501
2024-03-20 00:32:47.484136	-93.182449	44.976501	0.453	
2024-03-20 00:32:47.484280	-93.182449	44.976501		0.453
2024-03-20 00:34:19.645181	-93.182449	44.976501	0.451	
2024-03-20 00:34:19.645372	-93.182449	44.976501		0.452
2024-03-20 00:36:47.558381	-93.182449	44.976501	0.536	
2024-03-20 00:36:47.558651	-93.182449	44.976501		0.537
2024-03-20 00:38:19.712032	-93.182449	44.976501	0.431	
2024-03-20 00:38:19.712260	-93.182449	44.976501		0.432
2024-03-20 00:40:47.398213	-93.182449	44.976501	0.346	
2024-03-20 00:40:47.398429	-93.182449	44.976501		0.347
2024-03-20 00:42:19.813187	-93.182449	44.976501	0.434	
2024-03-20 00:42:19.813386	-93.182449	44.976501		0.435
2024-03-20 00:44:47.403547	-93.182449	44.976501	0.351	
2024-03-20 00:44:47.403745	-93.182449	44.976501		0.352
2024-03-20 00:46:19.884146	-93.182449	44.976501	0.513	
2024-03-20 00:46:19.884293	-93.182449	44.976501		0.513
2024-03-20 00:48:47.623549	-93.182449	44.976501	0.484	
2024-03-20 00:48:47.623715	-93.182449	44.976501		0.484
